75821,8,183042,25,9
84620,2,69136,30,10
52739,4,198377,21,0
46123,5,100594,18,4
75821,2,53095,25,7
52739,5,44036,21,8
12383,10,165590,70,8
12334,1,177924,37,9
98213,12,184778,49,9
75821,4,131751,25,7
52739,6,183604,21,3
84620,10,58847,30,8
12334,8,166897,37,1
81213,3,63215,61,2
46123,12,199372,18,4
46123,9,133523,18,3
12334,9,124696,37,10
98213,8,153671,49,3
12383,9,128869,70,6
81213,4,162816,61,2
84620,1,97496,30,3
98213,9,152043,49,6
12334,5,142563,37,4
81213,12,29686,61,3
12334,1,67853,37,7
84620,12,192238,30,3
12334,12,140454,37,9
52739,4,43659,21,4
12334,10,27526,37,0
98213,11,64730,49,5
75821,9,140681,25,7
84620,8,99545,30,0
12383,7,138452,70,10
75821,7,179568,25,2
46123,6,35152,18,4
46123,4,128418,18,7
12383,8,161168,70,7
75821,7,74806,25,1
98213,8,58311,49,4
12334,7,155250,37,1
12383,12,94190,70,6
12334,12,170950,37,4
75821,9,67811,25,9
12334,4,168217,37,9
12334,3,197351,37,0
84620,1,161685,30,3
81213,3,177205,61,3
84620,6,118900,30,6
52739,11,155100,21,5
75821,7,92375,25,2
